gene,1_No_WT_1,2_No_WT_2,3_No_WT_3,4_No_WT_4,5_No_WT_5,21_G0_Tg_1,22_G0_Tg_2,23_G0_Tg_3,24_G0_Tg_4,25_G0_Tg_5
Aaas,349,360,382,324,349,233,294,229,277,226
Aacs,377,287,485,845,407,374,320,289,304,369
Aadac,42,13,97,449,145,148,15,75,105,71
Aadat,46,13,161,310,216,87,14,87,87,92
Aaed1,1818,1423,1563,1447,1720,1395,1399,1305,1380,1532
Aagab,1825,2103,2225,2593,1998,1778,1569,1580,1927,2068
Aak1,4481,3323,3109,3254,3768,2931,2898,3847,3959,3290
Aamdc,221,228,274,320,287,211,193,173,240,231
Aamp,3135,3462,3260,3247,3289,2951,2758,2498,2934,3118
Aar2,578,632,738,627,772,607,591,602,728,722
Aars,1969,2289,1961,2089,2335,1663,1964,1864,2364,2239
Aars2,384,369,401,410,381,325,359,329,411,384
Aarsd1,459,539,478,550,518,492,478,481,482,487
Aasdh,287,361,368,326,253,232,225,219,189,235
Aasdhppt,448,500,548,538,482,474,450,413,487,437
Aass,278,72,521,1725,1346,538,74,477,483,496
Aatf,331,363,380,410,275,281,241,247,227,298
Aatk,1809,3093,2215,1491,2082,1908,2641,2123,2224,2250
Abat,1255,1655,1591,3297,2191,2604,1475,2001,1985,2165
Abca1,2679,854,1111,948,1505,1041,1008,1410,1690,1408
Abca13,243,28,1009,2069,1369,739,70,1094,973,789
Abca2,4570,6412,6811,7293,7029,5979,3869,6053,6133,5474
Abca3,3101,3052,3631,4831,4158,3629,2791,3556,4035,3267
Abca5,1913,1566,2045,2005,2248,1757,940,1423,1384,1739
Abca7,3726,4518,3948,2911,3736,3186,4001,3265,3610,2959
Abca9,2538,2241,1762,2303,1575,1660,1736,2635,1273,2046
Abcb10,739,707,728,656,809,681,798,668,717,710
Abcb1a,540,515,434,300,466,516,333,400,616,515
Abcb6,239,254,299,287,261,221,188,229,294,214
Abcb7,1168,1203,1459,1404,1380,1452,981,1249,1222,1065
Abcb8,377,428,514,746,490,376,315,356,513,473
Abcb9,345,318,414,324,335,199,273,252,333,333
Abcc1,1196,1249,1445,1397,1397,1412,977,1351,1607,1157
Abcc10,453,476,457,453,370,456,348,354,375,360
Abcc2,225,15,198,668,464,335,18,277,410,162
Abcc3,163,138,123,146,219,129,99,88,130,86
Abcc4,957,687,680,798,856,776,655,741,1283,771
Abcc5,4352,4976,4734,4075,3919,3576,3584,3601,3501,3265
Abcc9,1124,684,359,511,1234,701,687,698,609,869
