gene,1_No_WT_1,2_No_WT_2,3_No_WT_3,4_No_WT_4,5_No_WT_5,21_G0_Tg_1,22_G0_Tg_2,23_G0_Tg_3,24_G0_Tg_4,25_G0_Tg_5
mt-Co1,166504,117661,239722,498419,311672,240447,113906,209127,225698,243515
Podxl,184002,238546,251402,234228,253730,203033,176105,204296,210836,218083
Plat,207160,201692,222696,125644,224398,96094,164434,155020,187277,133316
Igfbp5,99960,120438,105143,107587,112493,146544,139693,121736,135273,103900
Timp3,143441,108745,121797,88012,133752,70058,96526,129309,148309,113488
Gm28437,64600,49295,104422,203996,138489,101081,46897,81693,87932,90060
Gm28661,64617,50880,105204,216295,125512,93327,48130,74489,86166,90914
mt-Cytb,53897,40185,87855,193892,122532,94402,38597,74013,82180,83572
Ccn2,78008,95948,43601,53915,61817,74347,114135,62834,69484,85827
Sema3g,61559,75436,75936,74119,103399,55255,62903,59274,71329,79985
Nphs2,28362,80274,62045,84971,70762,74397,71358,71426,75764,91417
Eef1a1,71488,59776,64020,63843,67505,62511,53804,58925,66034,66604
Gm10925,41715,34440,58781,122317,94407,69762,30238,56375,61662,55488
Serinc3,101715,46662,48816,32952,52711,49224,69563,71886,78216,72785
Sptbn1,63290,60767,54936,46125,72696,52509,59756,68364,73003,56572
Ehd3,49213,73529,62848,53381,60475,65643,74546,53292,50159,60467
mt-Nd4,33873,25637,57701,130731,72884,58852,23589,48147,51695,48224
App,53377,57740,56109,55266,56073,54466,51493,49960,57294,55732
Neat1,37026,72831,72228,101353,48581,45263,43055,25366,30669,44649
mt-Nd1,29067,22613,52709,119247,78127,49850,22237,44292,53186,47061
Itm2b,44859,54849,59015,59315,56288,44830,45954,38611,44192,55031
Ddx5,62113,54877,56122,49539,46778,39303,42882,40604,40421,47294
Epas1,46814,53163,37348,29651,50662,45402,46759,47423,52843,42961
Synpo,34453,55113,53770,56689,50300,45611,31180,35866,36550,41490
Tns1,43965,44448,32298,30421,57828,34526,45563,50367,57342,41568
Kdr,43037,44964,51205,33691,45327,40625,45051,43363,47206,38537
Gpx3,19103,5595,31731,158398,58456,51051,5648,27048,33377,30255
Sparc,34514,43947,44131,40345,41830,36133,38110,36900,46384,42940
Malat1,41105,38706,36866,34272,39909,35915,43952,39758,41955,37325
Col4a3,33911,36439,37322,40627,46487,38003,29082,40403,44566,41246
Myh9,37050,46123,36732,33359,41332,38888,35403,40538,39787,38736
Nphs1,35225,40554,42926,46331,42257,35575,29919,32250,35492,42226
APOL1,0,0,0,0,0,63247,49370,48944,62659,146871
mt-Nd2,21177,18006,36831,96681,49088,37963,15644,27933,32080,34769
Adgrf5,37044,36141,33879,27616,40997,28601,32973,40174,43424,34765
Tmsb4x,42776,37490,43617,35864,33695,25104,34131,25346,29402,40471
Tns3,29016,41167,32897,29015,34681,44474,32649,34405,35413,31270
Txnip,50683,29900,32265,28502,47509,23472,28129,29610,34198,37213
Ahnak,39228,28549,29081,18874,43578,26889,31100,47231,44558,29726
Igfbp7,27659,37673,34097,35422,33966,32821,35144,25821,32955,42352
Flna,30309,38960,20546,18143,35064,30972,40572,43562,42785,35200
Itgb1,30593,35159,32612,27722,35164,34433,34420,34540,35612,35468
Clic5,25356,35963,39171,35088,34784,31843,29125,34596,34956,34549
Atp1a1,28290,23525,34381,46210,47010,28164,21644,33187,38836,33959
Sgk1,42355,40375,33657,22017,33881,19524,36328,30254,36125,36926
Nrp1,24848,44325,34793,31370,34097,40041,33555,30961,27991,27757
Sptan1,32438,34579,30451,28032,35761,30928,30886,32363,35288,31744
Actn4,27049,39100,31375,28835,30919,28459,35860,30692,33072,35969
Slc6a6,36377,26101,30829,21662,38849,17863,33472,36976,44314,32804
Enpep,26715,34907,37702,36802,33465,28212,21487,25577,26124,32753
Hsp90ab1,23106,53497,25947,32422,30006,31449,22642,22577,25597,26210
Eef2,33371,27049,27835,27667,33572,28699,24185,27461,32007,29672
Actb,25975,32681,24360,23449,30247,31298,32942,30802,29429,29937
Tns2,27147,36902,25627,28920,35554,28841,26125,25137,26894,29504
Vegfa,30698,35080,42741,34285,28558,22523,24515,20144,21126,27895
Macf1,28311,31493,27304,29252,26944,31588,27625,30229,29009,25057
Actg1,24994,30217,24411,26554,29378,24555,31970,26556,28798,28609
Mylk,24973,29843,21881,20166,29894,24997,27488,28290,29127,29612
Srrm2,37109,25599,27101,24400,26003,23018,26508,24744,25949,24440
H2-D1,17185,16782,17357,15129,11627,29027,25941,16385,29795,85354
Syne1,26701,29875,24623,25258,24709,23863,31486,26877,26270,18838
Eng,28125,24527,28302,19647,26509,21712,27838,27253,30908,22389
Ptprb,28535,24783,26645,23052,23707,26273,24350,27700,26738,21247
Clic4,27889,25349,21804,16124,29943,16991,28329,26773,32019,25605
Itga8,19255,30230,14900,12094,27608,34802,27595,26209,32489,24137
Myl6,27463,27594,27415,25659,26729,17542,26305,19186,21873,28199
Tjp1,30332,24583,25076,21688,30555,19329,20427,22247,24350,24358
Myo1c,19060,27610,29478,20714,26509,20378,24744,24453,25366,21848
Son,27745,26203,23086,20840,25666,20839,23239,21889,24295,23026
Gnas,22011,25664,25917,25013,24275,22308,23967,20300,21653,23820
Npnt,18108,20400,23158,26005,20649,23352,19741,23568,26904,26179
Lamb2,28100,24485,24027,19494,25117,17953,20030,21060,24020,23183
Col4a4,18831,21792,23358,25778,25850,22873,16373,22557,24468,24256
Selenop,31096,18837,24870,26600,24594,18762,17539,19689,21681,20500
Dlc1,23447,24682,22803,17906,25678,21310,22458,21443,24641,18354
Dst,27094,23966,26734,28052,23528,16833,17573,21062,16218,19814
Aplp2,22340,23172,22749,21714,24006,21255,19953,20554,22411,22133
Col4a1,18014,24006,12951,15074,20375,32550,25733,17011,23412,28826
Flt1,28996,22398,23477,15782,22664,16287,21243,24103,23346,19395
mt-Nd5,10835,8731,19913,52659,30639,24417,6618,21038,20223,22328
Nedd4,22569,21982,21819,16745,23250,20607,19737,23602,24024,20188
